ALGORITHM,NUMBER OF ELEMENTS,NUMBER OF COMPARISONS,NUMBER OF SWAPS
BUBBLE,26,325,197
QUICK,11,23,21
BUBBLE,15,105,65
QUICK,21,66,63
QUICK,23,87,86
BUBBLE,23,253,111
BUBBLE,14,91,52
QUICK,9,20,18
QUICK,25,106,104
BUBBLE,16,120,60
BUBBLE,22,231,103
BUBBLE,24,276,146
QUICK,10,27,25
QUICK,21,71,70
BUBBLE,10,45,12
QUICK,27,91,89
BUBBLE,14,91,49
QUICK,27,112,110
QUICK,19,62,62
BUBBLE,22,231,76
QUICK,22,91,90
BUBBLE,25,300,147
QUICK,28,106,103
BUBBLE,17,136,64
QUICK,19,62,60
QUICK,11,39,37
QUICK,6,9,9
BUBBLE,9,36,25
QUICK,29,109,108
BUBBLE,24,276,161
BUBBLE,24,276,120
BUBBLE,23,253,132
BUBBLE,20,190,97
BUBBLE,21,210,72
QUICK,13,34,33
BUBBLE,25,300,158
QUICK,10,25,25
BUBBLE,30,435,176
BUBBLE,7,21,6
BUBBLE,17,136,52
BUBBLE,26,325,168
QUICK,20,62,61
BUBBLE,9,36,19
QUICK,27,107,106
BUBBLE,15,105,64
QUICK,19,81,80
QUICK,15,48,47
QUICK,26,105,104
QUICK,19,59,57
QUICK,29,136,136
BUBBLE,30,435,174
QUICK,19,71,71
BUBBLE,24,276,140
QUICK,12,34,33
BUBBLE,18,153,81
QUICK,11,24,23
QUICK,15,56,55
BUBBLE,5,10,8
BUBBLE,11,55,33
BUBBLE,6,15,10
BUBBLE,30,435,221
BUBBLE,28,378,208
QUICK,28,123,120
QUICK,27,111,109
QUICK,5,7,6
BUBBLE,29,406,184
BUBBLE,23,253,95
BUBBLE,15,105,48
QUICK,12,29,27
BUBBLE,6,15,6
BUBBLE,13,78,52
BUBBLE,21,210,131
QUICK,17,55,54
BUBBLE,27,351,137
BUBBLE,25,300,127
BUBBLE,17,136,40
QUICK,5,8,8
BUBBLE,25,300,119
BUBBLE,23,253,125
BUBBLE,13,78,51
BUBBLE,21,210,85
BUBBLE,9,36,20
BUBBLE,9,36,16
QUICK,29,119,118
QUICK,27,124,121
QUICK,28,108,105
BUBBLE,11,55,17
BUBBLE,13,78,33
QUICK,11,24,23
QUICK,25,128,126
QUICK,5,7,6
BUBBLE,7,21,18
BUBBLE,30,435,236
QUICK,28,110,109
QUICK,27,129,128
BUBBLE,14,91,56
QUICK,26,87,83
BUBBLE,21,210,87
BUBBLE,14,91,53
QUICK,26,99,97
QUICK,8,21,21
BUBBLE,10,45,18
QUICK,16,51,50
BUBBLE,23,253,135
BUBBLE,6,15,10
BUBBLE,5,10,5
QUICK,21,80,79
BUBBLE,18,153,55
BUBBLE,27,351,171
BUBBLE,11,55,23
QUICK,19,57,55
QUICK,12,32,31
BUBBLE,10,45,24
QUICK,14,43,43
BUBBLE,30,435,231
BUBBLE,18,153,65
BUBBLE,25,300,141
QUICK,18,73,71
BUBBLE,20,190,106
QUICK,11,33,31
QUICK,7,14,14
BUBBLE,12,66,21
QUICK,14,42,42
QUICK,21,77,74
BUBBLE,9,36,22
QUICK,16,47,46
BUBBLE,13,78,35
QUICK,7,10,10
BUBBLE,12,66,16
QUICK,26,96,94
BUBBLE,22,231,123
BUBBLE,10,45,28
QUICK,16,47,45
BUBBLE,22,231,130
BUBBLE,20,190,101
QUICK,14,39,39
QUICK,8,15,14
BUBBLE,5,10,7
BUBBLE,24,276,134
QUICK,29,113,108
BUBBLE,28,378,165
BUBBLE,17,136,67
QUICK,22,80,75
QUICK,7,11,10
BUBBLE,29,406,221
BUBBLE,6,15,9
BUBBLE,25,300,166
QUICK,21,70,66
BUBBLE,14,91,43
BUBBLE,18,153,83
BUBBLE,17,136,53
QUICK,23,92,89
BUBBLE,11,55,29
BUBBLE,21,210,149
BUBBLE,22,231,122
BUBBLE,16,120,45
BUBBLE,15,105,50
QUICK,15,39,37
BUBBLE,12,66,33
QUICK,30,140,138
QUICK,6,13,12
BUBBLE,12,66,30
QUICK,26,110,107
BUBBLE,6,15,10
BUBBLE,17,136,51
BUBBLE,20,190,107
QUICK,28,97,95
BUBBLE,16,120,61
QUICK,10,22,21
QUICK,29,115,113
BUBBLE,16,120,48
BUBBLE,29,406,244
QUICK,24,85,85
BUBBLE,26,325,139
BUBBLE,9,36,25
QUICK,29,119,117
BUBBLE,24,276,176
BUBBLE,19,171,88
QUICK,14,45,44
BUBBLE,6,15,8
BUBBLE,22,231,120
QUICK,25,93,91
QUICK,14,41,40
BUBBLE,21,210,104
BUBBLE,23,253,146
QUICK,24,83,79
BUBBLE,11,55,25
BUBBLE,5,10,6
QUICK,10,21,19
QUICK,22,110,107
QUICK,17,51,47
BUBBLE,24,276,160
QUICK,12,31,29
BUBBLE,27,351,161
BUBBLE,6,15,8
BUBBLE,8,28,12
BUBBLE,23,253,126
QUICK,16,58,56
QUICK,26,87,85
QUICK,11,32,31
BUBBLE,11,55,16
QUICK,5,6,5
QUICK,21,78,75
BUBBLE,16,120,52
QUICK,13,33,33
QUICK,13,33,33
BUBBLE,16,120,37
BUBBLE,27,351,203
QUICK,19,63,61
QUICK,5,6,5
BUBBLE,24,276,124
QUICK,24,87,86
QUICK,25,113,111
BUBBLE,24,276,135
BUBBLE,30,435,205
BUBBLE,22,231,119
QUICK,9,16,15
BUBBLE,23,253,118
QUICK,6,12,11
BUBBLE,30,435,188
BUBBLE,20,190,97
BUBBLE,12,66,38
BUBBLE,14,91,34
BUBBLE,18,153,71
QUICK,16,44,41
QUICK,19,84,82
BUBBLE,26,325,140
BUBBLE,20,190,96
BUBBLE,30,435,181
BUBBLE,21,210,126
QUICK,18,80,79
QUICK,18,75,73
QUICK,13,32,31
BUBBLE,9,36,25
BUBBLE,17,136,48
QUICK,5,6,4
BUBBLE,20,190,86
BUBBLE,30,435,210
QUICK,7,14,14
BUBBLE,22,231,112
QUICK,17,55,54
QUICK,13,41,40
QUICK,9,19,19
QUICK,24,99,97
BUBBLE,29,406,222
BUBBLE,14,91,44
BUBBLE,26,325,188
QUICK,7,16,16
QUICK,22,70,68
BUBBLE,25,300,159
QUICK,26,97,97
BUBBLE,8,28,18
BUBBLE,12,66,38
BUBBLE,11,55,29
QUICK,19,54,53
BUBBLE,9,36,21
QUICK,10,25,24
BUBBLE,9,36,19
BUBBLE,8,28,7
QUICK,11,34,33
QUICK,11,27,27
BUBBLE,18,153,58
QUICK,10,23,22
BUBBLE,20,190,92
BUBBLE,20,190,93
BUBBLE,8,28,11
BUBBLE,25,300,135
QUICK,6,11,11
BUBBLE,27,351,179
QUICK,16,47,45
BUBBLE,26,325,185
BUBBLE,15,105,44
BUBBLE,16,120,44
QUICK,28,108,106
BUBBLE,22,231,118
BUBBLE,23,253,121
QUICK,25,108,106
BUBBLE,21,210,113
BUBBLE,7,21,10
BUBBLE,8,28,11
QUICK,10,27,26
QUICK,22,85,83
BUBBLE,18,153,87
QUICK,16,54,53
BUBBLE,30,435,232
BUBBLE,5,10,3
BUBBLE,12,66,34
QUICK,10,31,31
BUBBLE,6,15,8
QUICK,29,133,128
